TP,site,N
2001,164,2
2003,164,1
2004,164,2
2005,164,1
2006,164,3
2007,164,2
2008,164,5
2009,164,7
2010,164,2
2011,164,3
2012,164,9
2013,164,11
2014,164,10
2015,164,9
2016,164,6
2017,164,9
2018,164,7
2019,164,10
2020,164,10
2021,164,9
2022,164,4
2001,165,9
2004,165,2
2005,165,2
2006,165,3
2007,165,5
2008,165,3
2009,165,6
2010,165,7
2011,165,7
2012,165,4
2013,165,5
2014,165,4
2015,165,7
2016,165,8
2017,165,9
2018,165,5
2019,165,6
2020,165,5
2021,165,2
2022,165,2
2000,168,3
2001,168,3
2002,168,12
2003,168,12
2004,168,4
2005,168,6
2006,168,4
2007,168,4
2008,168,4
2009,168,3
2010,168,3
2011,168,1
2012,168,6
2013,168,6
2014,168,8
2015,168,12
2016,168,8
2017,168,7
2018,168,9
2019,168,10
2020,168,5
2021,168,7
2022,168,4
2001,170,7
2002,170,2
2003,170,2
2004,170,3
2005,170,4
2006,170,2
2008,170,5
2010,170,1
2011,170,1
2013,170,2
2014,170,2
2015,170,2
2016,170,3
2017,170,3
2018,170,1
2020,170,1
2021,170,1
2022,170,1
2006,171,1
2007,171,2
2008,171,1
2009,171,4
2010,171,4
2011,171,1
2012,171,1
2013,171,1
2014,171,4
2015,171,4
2016,171,5
2017,171,3
2018,171,4
2019,171,8
2020,171,7
2021,171,7
2022,171,1
2000,172,1
2002,172,6
2003,172,5
2004,172,8
2005,172,4
2006,172,4
2007,172,8
2008,172,11
2009,172,12
2010,172,10
2011,172,12
2012,172,9
2013,172,11
2014,172,11
2015,172,12
2016,172,11
2017,172,10
2018,172,10
2019,172,11
2020,172,1
2021,172,2
2022,172,1
2000,174,1
2002,174,1
2004,174,1
2005,174,3
2006,174,5
2007,174,5
2008,174,4
2009,174,12
2010,174,12
2011,174,11
2012,174,12
2013,174,7
2014,174,6
2015,174,11
2016,174,9
2017,174,8
2018,174,5
2019,174,9
2020,174,3
2021,174,2
2000,175,12
2001,175,10
2002,175,11
2003,175,12
2004,175,12
2005,175,2
2006,175,5
2007,175,12
2008,175,12
2009,175,12
2010,175,12
2011,175,12
2012,175,12
2013,175,12
2014,175,12
2015,175,12
2016,175,12
2017,175,12
2018,175,12
2019,175,12
2020,175,3
2021,175,4
2022,175,3
2000,176,12
2001,176,12
2002,176,12
2003,176,12
2004,176,12
2005,176,12
2006,176,12
2007,176,12
2008,176,12
2009,176,12
2010,176,12
2011,176,12
2012,176,12
2013,176,12
2014,176,12
2015,176,12
2016,176,12
2017,176,12
2018,176,12
2019,176,12
2020,176,5
2021,176,6
2022,176,1
2000,177,8
2001,177,9
2002,177,12
2003,177,11
2004,177,9
2005,177,12
2006,177,12
2007,177,12
2008,177,12
2009,177,12
2010,177,12
2011,177,11
2012,177,12
2013,177,12
2014,177,7
2015,177,7
2016,177,7
2017,177,12
2018,177,12
2019,177,12
2020,177,7
2021,177,7
2022,177,1
2000,179,12
2001,179,12
2002,179,12
2003,179,12
2004,179,12
2005,179,12
2006,179,12
2007,179,12
2008,179,12
2009,179,12
2010,179,12
2011,179,12
2012,179,12
2013,179,12
2014,179,12
2015,179,12
2016,179,12
2017,179,12
2018,179,12
2019,179,12
2020,179,6
2022,179,1
2000,180,1
2004,180,1
2005,180,7
2006,180,12
2007,180,8
2008,180,6
2009,180,2
2010,180,2
2011,180,3
2012,180,2
2013,180,2
2014,180,9
2015,180,9
2016,180,5
2017,180,5
2018,180,6
2019,180,6
2020,180,6
2021,180,4
2022,180,3
2000,181,2
2002,181,2
2003,181,5
2004,181,12
2005,181,12
2006,181,12
2007,181,11
2008,181,12
2009,181,12
2010,181,12
2011,181,9
2012,181,5
2013,181,11
2014,181,11
2015,181,12
2016,181,12
2017,181,12
2018,181,12
2019,181,12
2020,181,8
2021,181,4
2022,181,4
2000,182,7
2001,182,10
2002,182,10
2003,182,9
2004,182,10
2005,182,5
2006,182,8
2007,182,7
2008,182,7
2009,182,10
2010,182,9
2011,182,12
2012,182,12
2013,182,12
2014,182,12
2015,182,12
2016,182,12
2017,182,12
2018,182,12
2019,182,12
2020,182,6
2021,182,3
2022,182,2
2000,183,1
2002,183,1
2008,183,2
2009,183,4
2010,183,1
2011,183,1
2012,183,2
2013,183,2
2014,183,3
2015,183,3
2016,183,1
2017,183,2
2019,183,1
2020,183,5
2021,183,2
2007,184,1
2012,184,1
2013,184,2
2014,184,4
2016,184,2
2017,184,3
2018,184,1
2019,184,2
2020,184,4
2021,184,3
2000,185,1
2001,185,1
2003,185,1
2004,185,1
2006,185,1
2007,185,1
2008,185,2
2009,185,9
2010,185,11
2011,185,10
2012,185,2
2013,185,5
2014,185,10
2015,185,11
2016,185,12
2017,185,10
2018,185,12
2019,185,12
2020,185,1
2021,185,4
2022,185,2
2000,186,8
2001,186,10
2002,186,10
2003,186,9
2004,186,10
2005,186,10
2006,186,8
2007,186,7
2008,186,9
2009,186,11
2010,186,12
2011,186,12
2012,186,12
2013,186,12
2014,186,12
2015,186,12
2016,186,12
2017,186,12
2018,186,12
2019,186,12
2020,186,6
2021,186,4
2022,186,2
2007,187,1
2008,187,10
2009,187,2
2010,187,1
2011,187,2
2012,187,5
2013,187,10
2014,187,12
2015,187,10
2016,187,6
2017,187,3
2018,187,5
2019,187,5
2020,187,1
2021,187,2
2022,187,1
2000,188,12
2001,188,3
2004,188,1
2005,188,1
2006,188,1
2007,188,3
2011,188,1
2013,188,3
2014,188,4
2015,188,1
2016,188,3
2017,188,6
2018,188,3
