tf_id,plant_date,area,trees,lat,lon,date,year,month
327,23 March 2023,198," Lime, large-leaved(Tilia platyphyllos) ",52.06658205,-0.63102201,2023-03-23,2023,3
327,23 March 2023,198," Maple, field(Acer campestre) ",52.06658205,-0.63102201,2023-03-23,2023,3
327,23 March 2023,198," Oak, english(Quercus robur) ",52.06658205,-0.63102201,2023-03-23,2023,3
327,23 March 2023,198," Oak, sessile(Quercus petraea) ",52.06658205,-0.63102201,2023-03-23,2023,3
327,23 March 2023,198, Rowan(Sorbus aucuparia) ,52.06658205,-0.63102201,2023-03-23,2023,3
327,23 March 2023,198," Willow, goat(Salix caprea)",52.06658205,-0.63102201,2023-03-23,2023,3
329,31 January 2023,200,"Birch, downy(Betula pubescens) ",52.5840935,-1.1487517,2023-01-31,2023,1
329,31 January 2023,200," Birch, silver(Betula pendula) ",52.5840935,-1.1487517,2023-01-31,2023,1
329,31 January 2023,200, Broom(Cytisus scoparius) ,52.5840935,-1.1487517,2023-01-31,2023,1
329,31 January 2023,200," Buckthorn, purging(Rhamnus cathartica) ",52.5840935,-1.1487517,2023-01-31,2023,1
329,31 January 2023,200," Cherry, bird(Prunus padus) ",52.5840935,-1.1487517,2023-01-31,2023,1
329,31 January 2023,200, Dog Rose(Rosa canina) ,52.5840935,-1.1487517,2023-01-31,2023,1
329,31 January 2023,200," Elm, wych(Ulmus glabra) ",52.5840935,-1.1487517,2023-01-31,2023,1
329,31 January 2023,200," Guelder, rose(Viburnum opulus) ",52.5840935,-1.1487517,2023-01-31,2023,1
329,31 January 2023,200, Hawthorn(Crataegus monogyna) ,52.5840935,-1.1487517,2023-01-31,2023,1
329,31 January 2023,200, Heather(Calluna vulgaris) ,52.5840935,-1.1487517,2023-01-31,2023,1
329,31 January 2023,200, Holly(Ilex aquifolium) ,52.5840935,-1.1487517,2023-01-31,2023,1
329,31 January 2023,200, Hornbeam(Carpinus betulus) ,52.5840935,-1.1487517,2023-01-31,2023,1
329,31 January 2023,200," Oak, english(Quercus robur) ",52.5840935,-1.1487517,2023-01-31,2023,1
329,31 January 2023,200," Oak, sessile(Quercus petraea)",52.5840935,-1.1487517,2023-01-31,2023,1
330,14 December 2022,200,Alder(Alnus glutinosa) ,52.62079522620644,-1.16140114284363,2022-12-14,2022,12
330,14 December 2022,200, Alder buckthorn(Frangula alnus) ,52.62079522620644,-1.16140114284363,2022-12-14,2022,12
330,14 December 2022,200," Birch, downy(Betula pubescens) ",52.62079522620644,-1.16140114284363,2022-12-14,2022,12
