tf_id,plant_date,area,trees,date,FID,LSOA11CD,LSOA11NM,LSOA11NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID,lower_super_output_area_2011_name,rural_urban_classification_2011_code,rural_urban_classification_2011_10_fold,rural_urban_classification_2011_2_fold,lat,lon
226,28 February 2022,202,,2022-02-28,25183,E01025855,Hinckley and Bosworth 011C,Hinckley and Bosworth 011C,440983,293669,-1.39716,52.53936,295246.615539551,2675.57697084471,f0858c62-14f5-4d0a-83bf-7bb97f197e0f,Hinckley and Bosworth 011C,C1  ,Urban city and town  ,Urban,52.538881,-1.397622
227,02 March 2022,205,,2022-03-02,25189,E01025861,Hinckley and Bosworth 009C,Hinckley and Bosworth 009C,442465,295304,-1.3751,52.55394,567863.13974762,5546.16921777282,3e42e0b5-3415-4e02-9156-74e2ec4b2f93,Hinckley and Bosworth 009C,C1  ,Urban city and town  ,Urban,52.55507,-1.370149
228,04 March 2022,202,,2022-03-04,24953,E01025621,Blaby 010D,Blaby 010D,446910,295816,-1.30948,52.55818,10115448.4809952,22962.7639142794,a62378f5-d705-4845-9029-8ed13f04f8ee,Blaby 010D,C1  ,Urban city and town  ,Urban,52.550626,-1.336776
229,01 March 2022,205,,2022-03-01,25190,E01025862,Hinckley and Bosworth 009D,Hinckley and Bosworth 009D,444103,295076,-1.35098,52.55176,1670504.08200836,5049.05360657288,42de897e-ddb8-4887-97e4-bb472b729dd9,Hinckley and Bosworth 009D,C1  ,Urban city and town  ,Urban,52.551111,-1.362255
230,03 March 2022,205,,2022-03-03,25182,E01025854,Hinckley and Bosworth 011B,Hinckley and Bosworth 011B,441181,294232,-1.39417,52.5444,446043.964729309,2732.36256392441,adb04d87-172d-45d4-a7ed-0efa4527750a,Hinckley and Bosworth 011B,C1  ,Urban city and town  ,Urban,52.545247,-1.389992
232,30 March 2022,207,,2022-03-30,9487,E01009784,Dudley 009B,Dudley 009B,392615,290780,-2.11024,52.51487,313991.497459412,2324.50770642804,254e58e0-6a3b-4e92-99c4-32b1499d71e3,Dudley 009B,A1,Urban major conurbation ,Urban,52.514469,-2.112841
233,17 March 2022,210,,2022-03-17,31625,E01032435,Wyre Forest 004B,Wyre Forest 004B,383458,277045,-2.24449,52.39118,378272.344032288,3259.04943010893,279219c1-09f0-4c20-9b74-d5a6b3e57c62,Wyre Forest 004B,C1  ,Urban city and town  ,Urban,52.391847,-2.241009
234,07 April 2022,210,,2022-04-07,8989,E01009253,Birmingham 080D,Birmingham 080D,399950,284494,-2.00215,52.45841,492850.754905701,3411.73989057573,cb745a04-80ea-41b5-90ce-03f084bb484b,Birmingham 080D,A1,Urban major conurbation ,Urban,52.455751,-2.001718
235,07 April 2022,210,,2022-04-07,10246,E01010552,Wolverhampton 019D,Wolverhampton 019D,387370,297958,-2.18781,52.5793,622374.298088074,3437.26563794838,0b9ce95d-8024-4e98-afb0-1281fa40e73d,Wolverhampton 019D,A1,Urban major conurbation ,Urban,52.582645,-2.188287
236,28 March 2022,206,,2022-03-28,30392,E01031181,Rugby 004E,Rugby 004E,438528,273659,-1.43566,52.35965,9044509.78133392,14058.9294368497,bb26f6ad-a3af-4735-8532-4095c7dec8e9,Rugby 004E,D1 ,Rural town and fringe ,Rural,52.363456,-1.439056
237,21 March 2022,206,,2022-03-21,10118,E01010424,Wolverhampton 022D,Wolverhampton 022D,395060,297751,-2.07432,52.57756,378899.17754364,3288.16020523461,a583f5ce-8513-4a70-9457-7eda84f26edb,Wolverhampton 022D,A1,Urban major conurbation ,Urban,52.576195,-2.073685
238,31 March 2022,203,,2022-03-31,31323,E01032127,Bromsgrove 007A,Bromsgrove 007A,395761,273222,-2.06366,52.35705,956430.085006714,5705.31345386926,ff6c9bcf-e72d-42c9-97fd-4b2a4af2ad24,Bromsgrove 007A,C1  ,Urban city and town  ,Urban,52.360015,-2.06217
239,06 April 2022,208,,2022-04-06,8696,E01008936,Birmingham 111C,Birmingham 111C,408016,280821,-1.88353,52.42533,308943.707244873,2331.7965747568,cca98a43-d490-4741-8d22-682b8b61eb75,Birmingham 111C,A1,Urban major conurbation ,Urban,52.422284,-1.881578
242,30 March 2022,214,,2022-03-30,10144,E01010450,Wolverhampton 029B,Wolverhampton 029B,394204,296653,-2.08693,52.56768,581671.791793823,4033.98093176238,22901d74-c90f-45b7-a572-02b304f551ea,Wolverhampton 029B,A1,Urban major conurbation ,Urban,52.566945,-2.090502
243,19 March 2022,209,,2022-03-19,28898,E01029654,South Staffordshire 010A,South Staffordshire 010A,382061,299059,-2.26622,52.58904,17480648.2845688,21016.7501489366,c6978625-a187-4dfe-bbf3-0be93d7115e5,South Staffordshire 010A,D1 ,Rural town and fringe ,Rural,52.591738,-2.264747
245,01 April 2022,200,,2022-04-01,7293,E01007490,Doncaster 002D,Doncaster 002D,452792,413701,-1.20342,53.61722,15937484.7675476,26732.9312471223,50314837-3dab-499c-a69e-aed2687b5237,Doncaster 002D,E1,Rural village and dispersed,Rural,53.611046,-1.164036
